case_id,description,witness_index,suspect_statement,witness_statement,similarity,confidence,suspect_sentiment,suspect_emotion,witness_sentiment,witness_emotion,suspect_sentiment_score,witness_sentiment_score,suspect_emotion_score,witness_emotion_score
001,Traffic collision during rush hour at a busy intersection.,1,"I was on my way to work and entered the intersection when the light was still yellow. The car coming from the right appeared suddenly and I tried to brake, but it was too late. I was not speeding, and I had full control of my vehicle. I immediately got out to check if the other driver was okay and called the police right away.","I was waiting at the pedestrian crossing when the light had already turned red. The suspect’s car didn’t stop and went through the red light, crashing into the other car. It looked like he was in a hurry.",0.9049450159072876,0.09523809523809523,NEGATIVE,fear,NEGATIVE,fear,0.985308825969696,0.9970911741256714,0.7775178551673889,0.6453170776367188
001,Traffic collision during rush hour at a busy intersection.,2,"I was on my way to work and entered the intersection when the light was still yellow. The car coming from the right appeared suddenly and I tried to brake, but it was too late. I was not speeding, and I had full control of my vehicle. I immediately got out to check if the other driver was okay and called the police right away.","I was driving behind the suspect. The light was yellow when he entered, but it turned red almost instantly. He might have thought he could make it, but he didn’t.",0.8989591598510742,0.11904761904761904,NEGATIVE,fear,NEGATIVE,surprise,0.985308825969696,0.9961848855018616,0.7775178551673889,0.842404305934906
002,Altercation between a customer and cashier at a convenience store.,1,"I went to the store to buy coffee and a sandwich before work. The cashier was rude and threw my receipt, so I asked him to be more respectful. I didn’t shout or use any threats, but people started looking. I left as soon as I realized it was getting uncomfortable.","I was behind him in line. The suspect raised his voice and slammed his hand on the counter. The cashier looked scared, and the suspect seemed really angry.",0.8592697978019714,0.07894736842105263,NEGATIVE,disgust,NEGATIVE,fear,0.9992130994796753,0.9988757967948914,0.809681236743927,0.7316426038742065
002,Altercation between a customer and cashier at a convenience store.,2,"I went to the store to buy coffee and a sandwich before work. The cashier was rude and threw my receipt, so I asked him to be more respectful. I didn’t shout or use any threats, but people started looking. I left as soon as I realized it was getting uncomfortable.",The suspect looked frustrated but I didn’t hear him insult or threaten anyone. He left the store shortly after raising his voice once.,0.8512887358665466,0.1,NEGATIVE,disgust,NEGATIVE,anger,0.9992130994796753,0.980395495891571,0.809681236743927,0.7341439127922058
003,Online cyberbullying case reported through social media screenshots.,1,"I was only replying sarcastically to my classmate’s posts. It wasn’t bullying; we always joke that way. I never intended to make her cry or feel unsafe. If she misunderstood, I’m sorry but it was never harassment.","The suspect posted repeated comments mocking the victim’s looks and personal life. Several people asked him to stop, but he continued making jokes for days.",0.8232748508453369,0.02631578947368421,POSITIVE,fear,NEGATIVE,disgust,0.9890546798706055,0.9975438714027405,0.9306673407554626,0.735798716545105
003,Online cyberbullying case reported through social media screenshots.,2,"I was only replying sarcastically to my classmate’s posts. It wasn’t bullying; we always joke that way. I never intended to make her cry or feel unsafe. If she misunderstood, I’m sorry but it was never harassment.","I saw the messages too. Some of them were harsh, but others laughed along. It’s possible he didn’t realize how hurtful it was.",0.8373231887817383,0.11764705882352941,POSITIVE,fear,POSITIVE,disgust,0.9890546798706055,0.6090555191040039,0.9306673407554626,0.7624332904815674
004,Dispute between two neighbors over property boundaries.,1,"I was mowing my lawn when he came out yelling that I was cutting on his side. I told him calmly that I was within my line, but he kept shouting. I didn’t touch his property or act aggressively. I simply walked back into my house to avoid a fight.","I live across the street. The suspect was waving his hands and shouting loudly, saying, 'This is my yard, stay out!' It definitely looked heated.",0.8632020354270935,0.08571428571428572,NEGATIVE,anger,POSITIVE,anger,0.9923475980758667,0.9879200458526611,0.4926875829696655,0.7819729447364807
004,Dispute between two neighbors over property boundaries.,2,"I was mowing my lawn when he came out yelling that I was cutting on his side. I told him calmly that I was within my line, but he kept shouting. I didn’t touch his property or act aggressively. I simply walked back into my house to avoid a fight.","I saw both of them arguing. The neighbor seemed more aggressive, but the suspect also raised his voice several times.",0.8494676351547241,0.058823529411764705,NEGATIVE,anger,POSITIVE,disgust,0.9923475980758667,0.6347247958183289,0.4926875829696655,0.6199281811714172
005,Workplace harassment complaint in a corporate office.,1,"I made a joke during lunch that I thought was harmless. I didn’t intend to offend anyone, especially not my colleague. When she told me she felt uncomfortable, I immediately apologized. I have never harassed anyone and always maintained professionalism.","The suspect made repeated jokes about a female coworker’s appearance. Everyone at the table looked awkward, but he kept going despite her visible discomfort.",0.8440096378326416,0.058823529411764705,POSITIVE,fear,NEGATIVE,disgust,0.975498378276825,0.6291953921318054,0.5747424960136414,0.9735299944877625
005,Workplace harassment complaint in a corporate office.,2,"I made a joke during lunch that I thought was harmless. I didn’t intend to offend anyone, especially not my colleague. When she told me she felt uncomfortable, I immediately apologized. I have never harassed anyone and always maintained professionalism.",I was at that table. The comment was inappropriate but he apologized right after. I don’t think he meant to make her uncomfortable.,0.8619153499603271,0.125,POSITIVE,fear,NEGATIVE,disgust,0.975498378276825,0.9983474016189575,0.5747424960136414,0.8341970443725586
